Web Category,Web Product,Web Price,Best App Match,App Category,App Price (current),Match Score,Status
Achievers,Acc Caramel Syrup (1KG),172,Acc Caramel Syrup,Achievers,172,1.00,SAME
Achievers,Acc Choco Syrup (1KG),172,Acc Choco Syrup,Achievers,172,1.00,SAME
Achievers,Acc Strawberry Syrup (1KG),172,Acc Strawberry Syrup,Achievers,172,1.00,SAME
Achievers,Acc Ube Syrup (1KG),172,Acc Ube Syrup,Achievers,172,1.00,SAME
Baking Chocolate,Beryl's Dark Chocolate Compound (1KG),365,Beryl's Dark Chocolate (1 KG),Baking Chocolate,365,0.75,SAME
Baking Chocolate,Beryl's Milk Chocolate Compound (1KG),377,Beryl's Milk Chocolate,Baking Chocolate,377,0.75,SAME
Baking Chocolate,Beryl's White Chocolate Compound (1KG),402,Beryl's White Chocolate,Baking Chocolate,402,0.75,SAME
Baking Chocolate,Beryl's White Chocolate Chips (1KG),340,Beryl's White Chocolate Chips,Baking Chocolate,340,1.00,SAME
Baking Chocolate,Van Houten Dark Compound - Intense dark (1KG),330,Van Houten Intense Dark Compound,Baking Chocolate,330,1.00,SAME
Baking Chocolate,Callebaut Dark Couverture Callets (1KG),1399,Callebaut Dark Couverture Callets,Baking Chocolate,1399,1.00,SAME
Baking Chocolate,Van Houten Dark Compound - Semi Sweet (1KG),365,Van Houten Dark Compound Semi Sweet,Baking Chocolate,365,1.00,SAME
Baking Chocolate,Van Houten Milk Compound (1KG),330,Van Houten Milk Compound,Baking Chocolate,330,1.00,SAME
Chicken Pastil,Original Chicken Pastil by Silong,140,Original Chicken Pastil by Silong Kitchen,Chicken Pastil,140,0.75,SAME
Chicken Pastil,Spicy Chicken Pastil by Silong,170,Spicy Chicken Pastil by Silong Kitchen,Chicken Pastil,170,0.75,SAME
Coffee Beans,Essse Cafe Selezione Speciale Coffee Beans 1 kg,1350,Selezione Speciale Coffee Beans,Coffee Beans,1350,0.67,SAME
Coffee Beans,Sylver Arabica Coffee Beans (1kg),1400,Sylver Arabica Coffee Beans,Coffee Beans,1400,1.00,SAME
Coffee Beans,Sylver Arabica Coffee Beans (250G),420,Arabica Coffee Beans,Coffee Beans,420,1.00,SAME
Coffee Beans,Sylver Blend Coffee Beans 70% Arabica & 30% Robusta (1KG),1000,Sylver Blend Coffee Beans 70% Arabica & 30% Robusta,Coffee Beans,1000,1.00,SAME
Condense Milk,Jersey Condensed Milk (1KG),115,Jersey Condensed Milk (1KG),Condense Milk,115,1.00,SAME
Condense Milk,Jersey Condensed Milk (2.5 KG),320,Jersey Condensed Milk (2.5 KG),Condense Milk,320,1.00,SAME
Condense Milk,Jersey Condensed Milk (390G),49,Jersey Condensed Milk (390G),Condense Milk,49,1.00,SAME
Condense Milk,Marie Condensada (1KG),107,Marie Condensada,Condense Milk,107,1.00,SAME
Cups and Lid,Dabba Elegant Cups 12oz (50PCS),198,Dabba Elegant Cups 12oz,Cups and Lid,198,1.00,SAME
Cups and Lid,Dabba Elegant Cups 16oz (50PCS),207,Dabba Elegant Cups 16oz,Cups and Lid,207,1.00,SAME
Cups and Lid,Dabba Elegant Cups 22oz (50PCS),273,Dabba Elegant Cups 22oz,Cups and Lid,273,1.00,SAME
Cups and Lid,Dome Lid 95mm (50PCS),80,Dome Lid 95mm,Cups and Lid,80,1.00,SAME
Cups and Lid,Flat Lid 95mm (50PCS),71,Flat Lid 95mm,Cups and Lid,71,1.00,SAME
Cups and Lid,PET Cups 12oz (50PCS),155,PET Cups 12oz,Cups and Lid,155,1.00,SAME
Cups and Lid,PET Cups 22oz (50PCS),201,PET Cups 22oz,Cups and Lid,201,1.00,SAME
Cups and Lid,Double Walled Brown 12oz (50PCS),316,Double Walled Brown 12oz,Cups and Lid,316,1.00,SAME
Cups and Lid,Double Walled Brown 16oz (50PCS),373,Double Walled Brown 16oz,Cups and Lid,373,1.00,SAME
Cups and Lid,Double Walled Brown 8oz (50PCS),258,Double Walled Brown 8oz,Cups and Lid,258,1.00,SAME
Cups and Lid,Hard Straw Individual Wrap (100PCS),60,Hard Straw Individual Wrap,Cups and Lid,60,1.00,SAME
Cups and Lid,Hot lid Black 80mm (50PCS),74,Hot lid Black 80mm,Cups and Lid,74,1.00,SAME
Cups and Lid,Hot lid Black 90mm (50PCS),86,Hot lid Black 90mm,Cups and Lid,86,1.00,SAME
Cups and Lid,PET Cups 16oz (50PCS),178,PET Cups 16oz,Cups and Lid,178,1.00,SAME
Cups and Lid,Strawless Lid 95mm (50PCS),90,Strawless Lid 95mm,Cups and Lid,90,1.00,SAME
Da Vinci Mixologies,Da Vinci European Strawberry Mixologies (750ML),509,European Strawberry,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Forest Berries Syrup (750ML),509,Forest Berries,Da Vinci Mixologies,509,0.67,SAME
Da Vinci Mixologies,Da Vinci Fragrant Lychee Mixologies (750ML),509,Fragrant Lychee,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Green Apple Mixologies (750ML),509,Green Apple,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Grenadine Pomegranate Mixologies (750ML),509,Grenadine Pomegranate,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Menta Cubano Mixology (750ML),509,Menta Cubano,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Peach Garden Mixologies (750ML),509,Peach Garden,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Peach Tea Mixologies (750ML),509,Peach Garden,Da Vinci Mixologies,509,0.50,SAME
Da Vinci Mixologies,Da Vinci Raspberry Rhapsody Mixologies (750ML),509,Raspberry Rhapsody,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Tropical Passionfruit Mixologies (750ML),509,Tropical Passionfruit,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Blue Ocean Mixologies (750ML),509,Blue Ocean,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Majestic Mango Mixologies (750ML),509,Majestic Mango,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Mixologies,Da Vinci Pink Guava Mixologies (750ML),509,Pink Guava,Da Vinci Mixologies,509,1.00,SAME
Da Vinci Powders,Da Vinci Bellagio Chocolate Sipping Powder (1KG),1175,Chocolate Sipping,Da Vinci Powders,1175,0.50,SAME
Da Vinci Powders,Da Vinci Frappease Powder (1.5KG),1070,Frappease Powder,Da Vinci Powders,1070,1.00,SAME
Da Vinci Sauces,Da Vinci Butterscotch Sauce (2L),1070,Butterscotch Sauce,Da Vinci Sauces,1070,1.00,SAME
Da Vinci Sauces,Da Vinci Caramel Sauce (2L),1070,Caramel Sauce (2 L),Da Vinci Sauces,1070,1.00,SAME
Da Vinci Sauces,Da Vinci Caramel Sauce 500 ml,320,Caramel (500 ML),Da Vinci Sauces,320,0.50,SAME
Da Vinci Sauces,Da Vinci Chocolate Sauce (2L),1060,Chocolate Sauce,Da Vinci Sauces,1060,1.00,SAME
Da Vinci Sauces,Da Vinci Chocolate Sauce 500 ml,320,Chocolate,Da Vinci Sauces,320,0.50,SAME
Da Vinci Sauces,Da Vinci Creamy Vanilla Sauce,1070,Creamy Vanilla,Da Vinci Sauces,1070,0.67,SAME
Da Vinci Sauces,Da Vinci Gourmet Pistachio Sauce (1L),935,Gourmet Pistachio,Da Vinci Sauces,935,0.50,SAME
Da Vinci Sauces,Da Vinci Madagascar Vanilla Bean Sauce (2L),1130,Vanilla Bean,Da Vinci Sauces,1130,0.50,SAME
Da Vinci Sauces,Da Vinci Salted Caramel Sauce (2L),1070,Caramel Sauce (2 L),Da Vinci Sauces,1070,0.67,SAME
Da Vinci Sauces,Da Vinci White Chocolate Sauce (2L),1070,White Chocolate Sauce,Da Vinci Sauces,1070,1.00,SAME
Da Vinci Sauces,Da Vinci Pandan Sauce (1L),580,Pandan,Da Vinci Sauces,580,0.50,SAME
